step,time,forward,remeshing,global_relaxation,peak_mem,#V,#T
144,3.6,0.12532916666666669,0,0,1.4427032470703125,137,12
145,3.625,0.12587545833333336,0,0,1.4427032470703125,137,12
146,3.6500000000000004,0.12570770833333336,0,0,1.4427032470703125,137,12
147,3.6750000000000003,0.11850900000000002,0,0,1.4427032470703125,137,12
148,3.7,0.11678458333333336,0,0,1.4427032470703125,137,12
149,3.725,0.12282712500000002,0,0,1.4427032470703125,137,12
150,3.75,0.11870412500000002,0,0,1.4427032470703125,137,12
151,3.7750000000000004,0.11852783333333336,0,0,1.4427032470703125,137,12
152,3.8000000000000003,0.12469091666666669,0,0,1.4427032470703125,137,12
153,3.825,0.12311895833333336,0,0,1.4427032470703125,137,12
154,3.85,0.12750133333333336,0,0,1.4427032470703125,137,12
155,3.875,0.12877420833333336,0,0,1.4427032470703125,137,12
156,3.9000000000000004,0.12615425000000002,0,0,1.4427032470703125,137,12
157,3.9250000000000003,0.12209716666666669,0,0,1.4427032470703125,137,12
158,3.95,0.11986900000000004,0,0,1.4427032470703125,137,12
159,3.975,0.12340537500000003,0,0,1.4427032470703125,137,12
160,4,0.12041354166666669,0,0,1.4427032470703125,137,12
161,4.025,0.1167636666666667,0,0,1.4427032470703125,137,12
162,4.05,0.11620991666666669,0,0,1.4427032470703125,137,12
163,4.075,0.11708850000000003,0,0,1.4427032470703125,137,12
164,4.1000000000000005,0.11536270833333336,0,0,1.4427032470703125,137,12
165,4.125,0.11949445833333336,0,0,1.4427032470703125,137,12
166,4.15,0.1193167916666667,0,0,1.4427032470703125,137,12
167,4.175,0.11879800000000003,0,0,1.4427032470703125,137,12
168,4.2,0.11892412500000002,0,0,1.4427032470703125,137,12
169,4.2250000000000005,0.11974891666666669,0,0,1.4427032470703125,137,12
170,4.25,0.11897329166666669,0,0,1.4427032470703125,137,12
171,4.275,0.12021687500000003,0,0,1.4427032470703125,137,12
172,4.3,0.12062808333333336,0,0,1.4427032470703125,137,12
173,4.325,0.1215695416666667,0,0,1.4427032470703125,137,12
174,4.3500000000000005,0.1169765416666667,0,0,1.4427032470703125,137,12
175,4.375,0.11789962500000002,0,0,1.4427032470703125,137,12
176,4.4,0.11594829166666669,0,0,1.4427032470703125,137,12
177,4.425,0.30834216666666675,0,0,1.4427032470703125,137,12
178,4.45,0.8666382916666668,0,0,1.4427032470703125,137,12
179,4.4750000000000005,0.1187935416666667,0,0,1.4427032470703125,137,12
180,4.5,0.12073083333333336,0,0,1.4427032470703125,137,12
