i,elastic,inertia,body,contact,friction,damping,augmented_lagrangian_lagr,augmented_lagrangian_penalty,strain_augmented_lagrangian_lagr,strain_augmented_lagrangian_penalty,periodic_contact,total_energy
112,28267.4,448.951,-284388,3.74542,0,0,0,0,0,0,0,-255668
113,25912.3,474.09,-281831,3.55062,0,0,0,0,0,0,0,-255441
114,24339.4,518.111,-279734,3.37623,0,0,0,0,0,0,0,-254873
115,23341.4,555.547,-278131,3.19599,0,0,0,0,0,0,0,-254231
116,22729.4,609.431,-277041,3.04831,0,0,0,0,0,0,0,-253699
117,22382.6,637.074,-276465,3.02942,0,0,0,0,0,0,0,-253442
118,22027.5,664.38,-276392,3.08214,0,0,0,0,0,0,0,-253698
119,21514.9,666.484,-276815,3.10704,0,0,0,0,0,0,0,-254630
120,20895.9,651.732,-277726,3.16161,0,0,0,0,0,0,0,-256176
121,20227.2,638.652,-279111,3.32128,0,0,0,0,0,0,0,-258242
122,19475.5,602.066,-280962,3.40329,0,0,0,0,0,0,0,-260881
123,18693.9,545.928,-283287,3.36701,0,0,0,0,0,0,0,-264044
124,18026.3,482.649,-286098,3.32462,0,0,0,0,0,0,0,-267586
125,17825.2,550.161,-289323,3.77892,0,0,0,0,0,0,0,-270944
126,18395.9,612.863,-292846,4.47486,0,0,0,0,0,0,0,-273833
127,20159.8,843.95,-296475,5.84109,0,0,0,0,0,0,0,-275466
128,22991.6,824.489,-300081,6.84047,0,0,0,0,0,0,0,-276258
129,26476.3,904.797,-303522,7.70225,0,0,0,0,0,0,0,-276133
130,30547.9,797.571,-306728,8.20121,0,0,0,0,0,0,0,-275374
131,34868.2,652.133,-309688,8.32805,0,0,0,0,0,0,0,-274159
132,39126.6,652.396,-312382,8.46223,0,0,0,0,0,0,0,-272594
133,43205.3,576.053,-314813,8.37869,0,0,0,0,0,0,0,-271024
134,47123.6,529.185,-317004,8.29602,0,0,0,0,0,0,0,-269343
135,50886.3,490.468,-318994,7.91126,0,0,0,0,0,0,0,-267609
136,54556,524.246,-320816,7.62959,0,0,0,0,0,0,0,-265728
137,58031.8,533.891,-322504,7.33987,0,0,0,0,0,0,0,-263931
138,61210.6,526.061,-324077,7.11673,0,0,0,0,0,0,0,-262333
139,64077.4,499.19,-325534,7.03116,0,0,0,0,0,0,0,-260950
140,66662.6,495.094,-326856,7.11519,0,0,0,0,0,0,0,-259691
